year,month,day,temp_high,temp_low,forecast
2015,9,24,90,78,Partly Cloudy
2015,9,25,89,80,Partly Sunny
2015,9,26,86,79,Rain
2015,9,27,87,78,Rain
2015,9,28,87,78,Partly Sunny
2015,9,29,87,78,Rain
2015,9,30,88,76,Rain
2015,10,1,86,76,Rain
2015,10,2,87,73,Partly Cloudy
2015,10,3,87,74,Mostly Sunny
2015,10,4,88,77,Partly Sunny
2015,10,5,86,79,Partly Sunny
2015,10,6,86,75,Rain
2015,10,7,87,71,Rain
2015,10,8,88,72,Partly Cloudy
2015,10,9,92,76,Partly Cloudy
2015,10,10,91,76,Mostly Sunny
2015,10,11,91,79,Partly Cloudy
2015,10,12,84,77,Rain
2015,10,13,87,75,Partly Sunny
2015,10,14,87,77,Partly Cloudy
2015,10,15,86,74,Rain
2015,10,16,90,75,Partly Cloudy
2015,10,17,90,78,Rain
2015,10,18,90,79,Partly Cloudy
2015,10,19,91,75,Partly Cloudy
2015,10,20,88,76,Rain
2015,10,21,91,74,Rain
2015,10,22,89,77,Partly Cloudy
2015,10,23,88,73,Mostly Sunny
2015,10,24,86,75,Partly Cloudy
2015,10,25,87,70,Partly Cloudy
2015,10,26,89,76,Rain
2015,10,27,86,73,Rain
2015,10,28,88,78,Mostly Sunny
2015,10,29,87,72,Partly Cloudy
2015,10,30,92,76,Partly Cloudy
2015,11,1,87,78,Partly Cloudy
2015,11,2,88,77,Rain
2015,11,3,90,76,Partly Cloudy
2015,11,4,88,76,Rain
2015,11,5,87,75,Rain
2015,11,6,88,77,Rain
2015,11,7,86,75,Rain
2015,11,8,87,76,Rain
2015,11,9,88,73,Rain
2015,11,10,84,77,Rain
2015,11,11,86,77,Partly Cloudy
2015,11,12,86,77,Rain
2015,11,13,86,72,Rain
2015,11,14,84,72,Rain
2015,11,15,87,77,Partly Cloudy
2015,11,16,87,73,Mostly Sunny
2015,11,17,84,69,Rain
2015,11,18,87,71,Mostly Sunny
2015,11,19,86,75,Rain
2015,11,20,78,73,Rain
2015,11,21,82,73,Rain
2015,11,22,80,75,Rain
2015,11,23,79,73,Rain
2015,11,24,83,74,Partly Sunny
2015,11,25,85,75,Rain
2015,11,26,82,75,Rain
2015,11,27,85,75,Rain
2015,11,28,85,75,Rain
2015,11,29,85,76,Rain
2015,11,30,85,77,Rain
2015,12,1,85,74,Rain
2015,12,2,83,74,Rain
2015,12,3,85,74,Partly Cloudy
2015,12,4,86,73,Partly Cloudy
2015,12,5,84,73,Rain
2015,12,6,85,73,Partly Cloudy
2015,12,7,83,71,Partly Cloudy
2015,12,8,82,72,Partly Sunny
2015,12,9,84,74,Partly Cloudy
2015,12,10,85,75,Rain
2015,12,11,85,71,Partly Cloudy
2015,12,12,86,72,Partly Cloudy
2015,12,13,82,68,Partly Cloudy
2015,12,14,83,67,Partly Cloudy
2015,12,15,86,74,Partly Cloudy
2015,12,16,84,75,Rain
2015,12,17,83,74,Rain
2015,12,18,83,72,Rain
2015,12,19,83,71,Rain
2015,12,20,84,74,Rain
2015,12,21,84,74,Partly Cloudy
2015,12,22,85,74,Rain
2015,12,23,84,72,Rain
2015,12,24,82,69,Rain
2015,12,25,83,71,Rain
2015,12,26,82,73,Rain
2015,12,27,82,73,Rain
2015,12,28,83,73,Partly Sunny
2015,12,29,85,68,Mostly Sunny
2015,12,30,82,68,Mostly Sunny
2015,12,31,81,68,Partly Cloudy
2016,1,1,84,63,Partly Cloudy
2016,1,2,81,66,Mostly Sunny
2016,1,3,80,63,Partly Cloudy
2016,1,4,81,63,Partly Cloudy
2016,1,5,82,67,Partly Cloudy
2016,1,6,81,71,Partly Sunny
2016,1,7,84,67,Mostly Sunny
2016,1,8,80,66,Partly Cloudy
2016,1,9,84,69,Rain
2016,1,10,81,67,Partly Cloudy
2016,1,11,80,66,Partly Cloudy
2016,1,12,81,66,Mostly Sunny
2016,1,13,80,65,Mostly Sunny
2016,1,14,81,65,Mostly Sunny
2016,1,15,81,68,Partly Cloudy
2016,1,16,80,65,Rain
2016,1,17,80,66,Mostly Sunny
2016,1,18,84,66,Mostly Sunny
2016,1,19,80,63,Mostly Sunny
2016,1,20,79,66,Rain
2016,1,21,81,67,Mostly Sunny
2016,1,22,83,65,Mostly Sunny
2016,1,23,82,68,Partly Cloudy
2016,1,24,81,69,Partly Cloudy
2016,1,25,82,71,Rain
2016,1,26,81,71,Partly Cloudy
2016,1,27,81,69,Partly Cloudy
2016,1,28,83,68,Partly Cloudy
2016,1,29,81,70,Mostly Sunny
2016,1,30,84,67,Mostly Sunny
2016,1,31,85,69,Partly Cloudy
2016,2,1,83,69,Partly Cloudy
2016,2,2,84,69,Rain
2016,2,3,85,70,Partly Cloudy
2016,2,4,83,68,Mostly Sunny
2016,2,5,82,70,Partly Sunny
2016,2,6,79,70,Rain
2016,2,7,79,64,Partly Cloudy
2016,2,8,80,59,Mostly Sunny
2016,2,9,79,61,Mostly Sunny
2016,2,10,79,63,Mostly Sunny
2016,2,11,86,65,Partly Cloudy
2016,2,12,84,71,Partly Cloudy
2016,2,13,87,70,Partly Cloudy
2016,2,14,86,72,Partly Cloudy
2016,2,15,84,72,Rain
2016,2,16,82,70,Rain
2016,2,17,80,69,Rain
2016,2,18,81,71,Partly Sunny
2016,2,19,81,69,Partly Sunny
2016,2,20,79,65,Rain
2016,2,21,82,69,Rain
2016,2,22,81,65,Partly Cloudy
2016,2,23,79,66,Partly Cloudy
2016,2,24,80,66,Partly Cloudy
2016,2,25,83,63,Partly Cloudy
2016,2,26,82,67,Partly Cloudy
2016,2,27,82,67,Mostly Sunny
2016,2,28,81,66,Partly Cloudy
2016,2,29,82,71,Rain
2016,3,1,84,69,Rain
2016,3,2,79,66,Partly Cloudy
2016,3,3,80,67,Partly Cloudy
2016,3,4,80,65,Partly Cloudy
2016,3,5,81,64,Mostly Sunny
2016,3,6,82,67,Mostly Sunny
2016,3,7,82,68,Partly Cloudy
2016,3,8,84,69,Rain
2016,3,9,78,65,Partly Cloudy
2016,3,10,80,68,Partly Cloudy
2016,3,11,81,69,Rain
2016,3,12,83,72,Mostly Sunny
2016,3,13,83,72,Partly Cloudy
2016,3,14,81,72,Partly Cloudy
2016,3,15,84,67,Mostly Sunny
2016,3,16,81,71,Partly Cloudy
2016,3,17,78,66,Mostly Sunny
2016,3,18,79,65,Partly Cloudy
2016,3,19,81,66,Partly Cloudy
2016,3,20,84,70,Partly Cloudy
2016,3,21,81,69,Partly Cloudy
2016,3,22,81,70,Partly Sunny
2016,3,23,82,69,Mostly Sunny
2016,3,24,81,68,Mostly Sunny
2016,3,25,78,70,Thunderstorms
2016,3,26,81,65,Partly Cloudy
2016,3,27,81,65,Mostly Sunny
2016,3,28,83,67,Partly Cloudy
2016,3,29,83,70,Partly Cloudy
2016,3,30,82,66,Mostly Sunny
2016,3,31,82,67,Mostly Sunny
2016,4,1,84,69,Rain
2016,4,2,79,66,Partly Cloudy
2016,4,3,80,67,Partly Cloudy
2016,4,4,80,65,Partly Cloudy
2016,4,5,81,64,Mostly Sunny
2016,4,6,82,67,Mostly Sunny
2016,4,7,82,68,Partly Cloudy
2016,4,8,84,69,Rain
2016,4,9,78,65,Partly Cloudy
2016,4,10,80,68,Partly Cloudy
2016,4,11,81,69,Rain
2016,4,12,83,72,Mostly Sunny
2016,4,13,83,72,Partly Cloudy
2016,4,14,83,72,Partly Cloudy
2016,4,15,84,67,Mostly Sunny
2016,4,16,81,71,Partly Cloudy
2016,4,17,78,66,Mostly Sunny
2016,4,18,79,65,Partly Cloudy
2016,4,19,81,66,Partly Cloudy
2016,4,20,84,70,Partly Cloudy
2016,4,21,81,69,Partly Cloudy
2016,4,22,81,70,Partly Sunny
2016,4,23,82,69,Mostly Sunny
2016,4,24,81,68,Mostly Sunny
2016,4,25,78,70,Thunderstorms
2016,4,26,81,65,Partly Cloudy
2016,4,27,81,65,Mostly Sunny
2016,4,28,83,67,Partly Cloudy
2016,4,29,82,70,Partly Cloudy
2016,4,30,82,66,Mostly Sunny
2016,4,31,82,67,Mostly Sunny
2016,5,1,85,74,Rain
2016,5,2,87,74,Partly Cloudy
2016,5,3,84,75,Rain
2016,5,4,85,73,Rain
2016,5,5,83,71,Partly Cloudy
2016,5,6,85,73,Partly Cloudy
2016,5,7,84,72,Partly Cloudy
2016,5,8,84,72,Partly Cloudy
2016,5,9,84,73,Partly Cloudy
2016,5,10,85,72,Partly Cloudy
2016,5,11,84,72,Partly Cloudy
2016,5,12,84,70,Partly Cloudy
2016,5,13,84,70,Partly Sunny
2016,5,14,84,73,Rain
2016,5,15,87,73,Partly Cloudy
2016,5,16,87,75,Partly Cloudy
2016,5,17,87,75,Partly Cloudy
2016,5,18,87,75,Partly Sunny
2016,5,19,87,75,Partly Sunny
2016,5,20,87,74,Partly Cloudy
2016,5,21,86,74,Partly Cloudy
2016,5,22,86,76,Partly Cloudy
2016,5,23,87,75,Rain
2016,5,24,88,82,Partly Cloudy
2016,5,25,85,73,Rain
2016,5,26,81,72,Rain
2016,5,27,83,72,Partly Cloudy
2016,5,28,83,73,Rain
2016,5,29,82,70,Rain
2016,5,30,82,70,Rain
2016,5,31,81,71,Rain
2016,6,1,82,72,Partly Sunny
2016,6,2,84,72,Partly Cloudy
2016,6,3,82,70,Partly Cloudy
2016,6,4,81,69,Rain
2016,6,5,85,71,Partly Cloudy
2016,6,6,84,72,Partly Sunny
2016,6,7,83,72,Partly Cloudy
2016,6,8,84,72,Mostly Sunny
2016,6,9,83,71,Rain
2016,6,10,84,72,Partly Cloudy
2016,6,11,85,73,Rain
2016,6,12,86,74,Rain
2016,6,13,85,75,Rain
2016,6,14,85,76,Rain
2016,6,15,84,75,Rain
2016,6,16,85,73,Rain
2016,6,17,84,73,Rain
2016,6,18,86,72,Partly Cloudy
2016,6,19,86,75,Partly Cloudy
2016,6,20,86,74,Rain
2016,6,21,88,73,Rain
2016,6,22,87,76,Rain
2016,6,23,86,75,Rain
2016,6,24,85,76,Rain
2016,6,25,86,73,Partly Sunny
2016,6,26,85,73,Rain
2016,6,27,88,73,Partly Cloudy
2016,6,28,88,74,Partly Cloudy
2016,6,29,89,76,Partly Cloudy
2016,6,30,89,79,Partly Cloudy
2016,7,1,88,77,Partly Cloudy
2016,7,2,88,78,Partly Cloudy
2016,7,3,86,75,Rain
2016,7,4,87,76,Rain
2016,7,5,85,75,Rain
2016,7,6,89,76,Partly Cloudy
2016,7,7,87,75,Partly Cloudy
2016,7,8,86,76,Partly Cloudy
2016,7,9,87,75,Rain
2016,7,10,88,75,Rain
2016,7,11,89,75,Mostly Sunny
2016,7,12,89,76,Mostly Sunny
2016,7,13,88,74,Rain
2016,7,14,91,76,Partly Cloudy
2016,7,15,88,74,Rain
2016,7,16,88,75,Rain
2016,7,17,88,75,Rain
2016,7,18,85,75,Rain
2016,7,19,85,76,Rain
2016,7,20,90,78,Rain
2016,7,21,88,76,Rain
2016,7,22,87,76,Rain
2016,7,23,86,76,Rain
2016,7,24,81,75,Thunderstorms
2016,7,25,82,74,Thunderstorms
2016,7,26,83,69,Partly Cloudy
2016,7,27,86,74,Partly Cloudy
2016,7,28,89,74,Partly Cloudy
2016,7,29,88,76,Rain
2016,7,30,89,75,Partly Cloudy
2016,7,31,85,73,Rain
2016,8,1,87,75,Rain
2016,8,2,87,76,Rain
2016,8,3,89,76,Rain
2016,8,4,87,77,Partly Cloudy
2016,8,5,86,76,Partly Cloudy
2016,8,6,85,77,Rain
2016,8,7,83,76,Rain
2016,8,8,87,76,Partly Cloudy
2016,8,9,85,76,Partly Cloudy
2016,8,10,85,75,Partly Cloudy
2016,8,11,86,74,Partly Cloudy
2016,8,12,91,76,Partly Cloudy
2016,8,13,87,75,Partly Cloudy
2016,8,14,88,77,Rain
2016,8,15,89,75,Partly Cloudy
2016,8,16,89,76,Partly Cloudy
2016,8,17,89,74,Mostly Sunny
2016,8,18,87,77,Partly Sunny
2016,8,19,88,76,Rain
2016,8,20,89,77,Rain
2016,8,21,87,75,Rain
2016,8,22,86,75,Rain
2016,8,23,85,78,Thunderstorms
2016,8,24,86,76,Thunderstorms
2016,8,25,88,78,Rain
2016,8,26,88,76,Rain
2016,8,27,87,76,Partly Cloudy
2016,8,28,86,75,Rain
2016,8,29,88,76,Partly Cloudy
2016,8,30,87,75,Rain
2016,8,31,88,77,Rain